,close,high,low,open,volume
2016-11-07,2.936,2.956,2.901,2.927,5050
2016-11-08,2.816,2.872,2.792,2.861,7755
2016-11-09,2.847,2.888,2.727,2.736,4665
2016-11-10,2.818,2.852,2.758,2.776,4184
2016-11-11,2.863,2.91,2.846,2.861,4591
2016-11-14,2.917,2.944,2.908,2.937,4985
2016-11-15,2.899,2.945,2.884,2.937,3735
2016-11-16,2.92,2.927,2.892,2.917,2765
2016-11-17,2.896,2.923,2.876,2.886,4585
2016-11-18,2.964,2.97,2.942,2.95,3864
2016-11-21,3.043,3.053,3.019,3.024,3466
2016-11-22,3.047,3.065,3.012,3.048,4672
2016-11-23,3.107,3.113,3.034,3.035,6137
2016-11-25,3.161,3.164,3.12,3.123,2868
2016-11-28,3.244,3.261,3.22,3.23,8717
2016-11-29,3.233,3.264,3.187,3.247,9200
2016-11-30,3.23,3.263,3.209,3.251,5509
2016-12-01,3.319,3.333,3.265,3.273,6862
2016-12-02,3.292,3.332,3.245,3.3,4387
2016-12-05,3.428,3.431,3.378,3.381,4863
2016-12-06,3.404,3.444,3.38,3.425,6955
2016-12-07,3.379,3.472,3.337,3.45,11842
2016-12-08,3.434,3.454,3.35,3.387,9189
2016-12-09,3.453,3.468,3.408,3.462,5619
2016-12-12,3.359,3.404,3.319,3.373,6776
2016-12-13,3.351,3.373,3.335,3.367,3904
2016-12-14,3.417,3.44,3.362,3.366,5712
2016-12-15,3.368,3.466,3.322,3.407,8263
2016-12-16,3.355,3.357,3.292,3.292,2648
2016-12-19,3.361,3.399,3.337,3.397,4074
2016-12-20,3.216,3.281,3.213,3.258,6852
2016-12-21,3.407,3.437,3.328,3.342,5353
2016-12-22,3.422,3.472,3.384,3.421,4927
2016-12-23,3.497,3.525,3.458,3.46,3655
2016-12-27,3.561,3.574,3.523,3.545,3400
2016-12-28,3.648,3.652,3.539,3.543,8189
2016-12-29,3.605,3.645,3.574,3.613,6625
2016-12-30,3.566,3.608,3.538,3.608,5678
2017-01-03,3.281,3.388,3.227,3.377,8851
2017-01-04,3.211,3.256,3.192,3.239,8787
2017-01-05,3.226,3.283,3.135,3.201,11292
2017-01-06,3.256,3.29,3.235,3.284,4967
2017-01-09,3.106,3.148,3.103,3.148,8083
2017-01-10,3.259,3.297,3.214,3.22,9934
2017-01-11,3.212,3.303,3.209,3.303,9202
2017-01-12,3.352,3.407,3.308,3.319,12260
2017-01-13,3.384,3.393,3.335,3.387,8012
2017-01-17,3.41,3.421,3.35,3.394,5776
2017-01-18,3.309,3.372,3.294,3.321,8744
2017-01-19,3.371,3.397,3.262,3.274,10811
2017-01-20,3.226,3.351,3.218,3.318,9321
2017-01-23,3.281,3.309,3.228,3.23,5199
2017-01-24,3.317,3.36,3.298,3.35,6278
2017-01-25,3.366,3.392,3.322,3.348,8405
2017-01-26,3.41,3.499,3.384,3.461,16780
2017-01-27,3.38,3.43,3.318,3.337,14893
2017-01-30,3.271,3.302,3.261,3.267,12696
2017-01-31,3.165,3.204,3.162,3.171,16689
2017-02-01,3.214,3.23,3.194,3.202,11962
2017-02-02,3.245,3.263,3.17,3.184,14733
2017-02-03,3.116,3.154,3.095,3.119,22062
