,close,high,low,open,volume
2016-11-07,2.3305,2.333,2.323,2.323,57
2016-11-08,2.4005,2.4025,2.356,2.356,116
2016-11-09,2.478,2.4805,2.4585,2.4585,142
2016-11-10,2.57,2.579,2.549,2.5595,488
2016-11-11,2.529,2.5815,2.5275,2.552,117
2016-11-14,2.54,2.5475,2.528,2.5405,45
2016-11-15,2.524,2.5255,2.5125,2.5125,24
2016-11-16,2.4895,2.501,2.4775,2.4975,197
2016-11-17,2.5125,2.5255,2.5,2.522,102
2016-11-18,2.4885,2.5025,2.472,2.495,30
2016-11-21,2.539,2.5475,2.538,2.543,17
2016-11-22,2.5675,2.5705,2.55,2.56,141
2016-11-23,2.6275,2.644,2.5585,2.5585,481
2016-11-25,2.692,2.691,2.669,2.6695,49
2016-11-28,2.6795,2.709,2.6695,2.7065,34
2016-11-29,2.621,2.6285,2.601,2.6275,73
2016-11-30,2.6435,2.656,2.637,2.649,185
2016-12-01,2.6525,2.659,2.634,2.634,155
2016-12-02,2.6335,2.647,2.6305,2.635,33
2016-12-05,2.7075,2.72,2.6975,2.706,151
2016-12-06,2.691,2.698,2.6715,2.6755,84
2016-12-07,2.656,2.6845,2.6415,2.6845,232
2016-12-08,2.6375,2.6395,2.626,2.639,162
2016-12-09,2.6585,2.674,2.654,2.6575,78
2016-12-12,2.631,2.646,2.618,2.6435,43
2016-12-13,2.611,2.6125,2.586,2.6,72
2016-12-14,2.616,2.6185,2.6055,2.614,127
2016-12-15,2.6115,2.634,2.609,2.609,198
2016-12-16,2.576,2.5905,2.5545,2.5905,292
2016-12-19,2.5115,2.5215,2.496,2.51,114
2016-12-20,2.515,2.516,2.505,2.505,21
2016-12-21,2.5105,2.516,2.5085,2.513,82
2016-12-22,2.5125,2.517,2.5075,2.5075,22
2016-12-23,2.492,2.5065,2.492,2.5065,30
2016-12-27,2.5285,2.535,2.5295,2.5295,14
2016-12-28,2.513,2.5335,2.506,2.518,383
2016-12-29,2.5005,2.5185,2.4985,2.5175,36
2016-12-30,2.518,2.5305,2.5165,2.5265,106
2017-01-03,2.502,2.5175,2.501,2.515,65
2017-01-04,2.57,2.572,2.555,2.565,228
2017-01-05,2.5525,2.575,2.547,2.566,67
2017-01-06,2.5605,2.5625,2.5275,2.53,38
2017-01-09,2.554,2.5615,2.54,2.546,310
2017-01-10,2.6265,2.6415,2.6215,2.631,927
2017-01-11,2.626,2.634,2.6125,2.6265,569
2017-01-12,2.688,2.7005,2.668,2.671,184
2017-01-13,2.7055,2.715,2.6695,2.6695,1334
2017-01-17,2.64,2.6705,2.622,2.6595,159
2017-01-18,2.6325,2.6435,2.628,2.633,65
2017-01-19,2.6265,2.63,2.612,2.629,246
2017-01-20,2.641,2.6595,2.6285,2.634,334
2017-01-23,2.6635,2.6645,2.6485,2.6485,138
2017-01-24,2.7235,2.7305,2.7,2.705,356
2017-01-25,2.725,2.735,2.7085,2.7095,182
2017-01-26,2.688,2.7205,2.6695,2.711,275
2017-01-27,2.705,2.708,2.679,2.6865,141
2017-01-30,2.6735,2.6855,2.6515,2.6715,193
2017-01-31,2.747,2.751,2.7155,2.7165,338
2017-02-01,2.7325,2.7425,2.725,2.74,129
2017-02-02,2.708,2.7085,2.691,2.691,49
2017-02-03,2.6395,2.6705,2.637,2.6585,158
