Date,Settle,Interest,High,Low,Volume,Open
2015-09-21,4442,,,,,0
2015-09-22,4289,,,,,0
2015-09-23,4291.5,,,,,0
2015-09-24,4205,,,,,0
2015-09-25,4338.5,,,,,0
2015-09-28,4222.5,,,,,0
2015-09-29,4208,,,,,0
2015-09-30,4320,,,,,0
2015-10-01,4291,,,,,0
2015-10-02,4325,,,,,0
2015-10-05,4479,,,,,0
2015-10-06,4523.5,,,,,0
2015-10-07,4530,,,,,0
2015-10-08,4541,,,,,0
2015-10-09,4563,,,,,0
2015-10-12,4553,,,,,0
2015-10-13,4510,,,,,0
2015-10-14,4476.5,,,,,0
2015-10-15,4541.5,,,,,0
2015-10-16,4569.5,,,,,0
2015-10-19,4570.5,,,,,0
2015-10-20,4537.5,,,,,0
2015-10-21,4559,,,,,0
2015-10-22,4667.5,,,,,0
2015-10-23,4788.5,,,,,0
2015-10-26,4762,,0,0,0,0
2015-10-27,4715.5,,0,0,0,0
2015-10-28,4756.5,,0,0,0,0
2015-10-29,4750.5,,0,0,0,0
2015-10-30,4761.5,,0,0,0,0
2015-11-02,4782,,0,0,0,0
2015-11-03,4803.5,,0,0,0,0
2015-11-04,4815.5,,0,0,0,0
2015-11-05,4847,,0,0,0,0
2015-11-06,4851,,0,0,0,0
2015-11-09,4778.5,,0,0,0,0
2015-11-10,4781,,0,0,0,0
2015-11-11,4821,,0,0,0,0
2015-11-12,4722.5,,0,0,0,0
2015-11-13,4674,,0,0,0,0
2015-11-16,4671.5,,0,0,0,0
2015-11-17,4803.5,,0,0,0,0
2015-11-19,4781,,0,0,0,0
2015-11-20,4779,,0,0,0,0
2015-11-23,4756.5,,0,0,0,0
2015-11-24,4686.5,,0,0,0,0
2015-11-25,4760.5,,0,0,0,0
2015-11-26,4813.5,,0,0,0,0
2015-11-27,4797.5,,0,0,0,0
2015-11-30,4825,,0,0,0,0
2015-12-01,4783,,0,0,0,0
2015-12-02,4774.5,,0,0,0,0
2015-12-03,4595.5,,0,0,0,0
2015-12-04,4583,,0,0,0,0
2015-12-07,4626,,0,0,0,0
2015-12-08,4552,,0,0,0,0
2015-12-09,4509.5,,0,0,0,0
2015-12-10,4505,,0,0,0,0
2015-12-11,4420,,0,0,0,0
2015-12-14,4342.5,,0,0,0,0
2015-12-15,4483.5,,0,0,0,0
2015-12-16,4494,,0,0,0,0
2015-12-17,4546.5,,0,0,0,0
2015-12-18,4495,,0,0,0,0
2015-12-21,4441.5,,0,0,0,0
2015-12-22,4443,,0,0,0,0
2015-12-23,4551,,0,0,0,0
2015-12-24,4540,,0,0,0,0
2015-12-28,4494,,0,0,0,0
2015-12-29,4578.5,,0,0,0,0
2015-12-30,4553.5,,0,0,0,0
2015-12-31,4515,,0,0,0,0
2016-01-04,4397.5,,0,0,0,0
2016-01-05,4413.5,,0,0,0,0
2016-01-06,4355.5,,0,0,0,0
2016-01-07,4279.5,,0,0,0,0
2016-01-08,4209.5,,0,0,0,0
2016-01-11,4187,,0,0,0,0
2016-01-12,4253.5,,0,0,0,0
2016-01-13,4266.5,,0,0,0,0
2016-01-14,4187,,0,0,0,0
2016-01-15,4084.5,,0,0,0,0
2016-01-18,4058.5,,0,0,0,0
2016-01-19,4140.5,,0,0,0,0
2016-01-20,3992.5,,0,0,0,0
2016-01-21,4074,,0,0,0,0
2016-01-22,4204,,0,0,0,0
2016-01-25,4177.5,,0,0,0,0
2016-01-26,4224.5,,0,0,0,0
2016-01-27,4248,,0,0,0,0
2016-01-28,4190.5,,0,0,0,0
2016-01-29,4285.5,,0,0,0,0
2016-02-01,4265.5,,0,0,0,0
2016-02-02,4157.5,,0,0,0,0
2016-02-03,4101,,0,0,0,0
2016-02-04,4101,,0,0,0,0
2016-02-05,4073.5,,0,0,0,0
2016-02-08,3937.5,,0,0,0,0
2016-02-09,3868,,0,0,0,0
2016-02-10,3931.5,,0,0,0,0
2016-02-11,3767,,0,0,0,0
2016-02-12,3865.5,,0,0,0,0
2016-02-15,3985,,0,0,0,0
2016-02-16,3979,,0,0,0,0
2016-02-17,4102,,0,0,0,0
2016-02-18,4107.5,,0,0,0,0
2016-02-19,4089.5,,0,0,0,0
2016-02-22,4164,,0,0,0,0
2016-02-23,4104,,0,0,0,0
2016-02-24,4021.5,,0,0,0,0
2016-02-25,4114.5,,0,0,0,0
2016-02-26,4180.5,,0,0,0,0
2016-02-29,4217.5,,0,0,0,0
2016-03-01,4271,,0,0,0,0
2016-03-02,4289,,0,0,0,0
2016-03-03,4278.5,,0,0,0,0
2016-03-04,4319,,0,0,0,0
2016-03-07,4305.5,,0,0,0,0
2016-03-08,4267.5,,0,0,0,0
2016-03-09,4288,,0,0,0,0
2016-03-10,4213,,0,0,0,0
2016-03-11,4355.5,,0,0,0,0
2016-03-14,4368,,0,0,0,0
2016-03-15,4335,,0,0,0,0
2016-03-16,4325,,0,0,0,0
2016-03-17,4305.5,,0,0,0,0
2016-03-18,4322.5,,0,0,0,0
2016-03-21,4294.5,,0,0,0,0
2016-03-22,4299,,0,0,0,0
2016-03-23,4293.5,,0,0,0,0
2016-03-24,4200.5,,0,0,0,0
2016-03-29,4237.5,,0,0,0,0
2016-03-30,4315.5,,0,0,0,0
