Date,Settle,Interest,High,Low,Volume,Open
2016-04-18,4380,,,,,0
2016-04-19,4442.5,,0,0,0,0
2016-04-20,4468,,0,0,0,0
2016-04-21,4459,,0,0,0,0
2016-04-22,4448,,0,0,0,0
2016-04-25,4425,,0,0,0,0
2016-04-26,4421,,0,0,0,0
2016-04-27,4448,0,0,0,0,0
2016-04-28,4446.5,,0,0,0,0
2016-04-29,4321,,0,0,0,0
2016-05-02,4339,,0,0,0,0
2016-05-03,4268.5,,0,0,0,0
2016-05-04,4222.5,,4242,4242,25,4242
2016-05-05,4229.5,25,0,0,0,0
2016-05-06,4221,25,0,0,0,0
2016-05-09,4243,25,4263.5,4223.5,31,4224.5
2016-05-10,4273.5,36,4275,4275,10,4275
2016-05-11,4252,14,0,0,5000,0
2016-05-12,4228.5,5014,0,0,0,0
2016-05-13,4258,5014,4236.5,4197,13,4218.5
2016-05-16,4250.5,5018,4255.5,4218.5,4,4218.5
2016-05-17,4242,5013,4255,4239.5,6,4255
2016-05-18,4264.5,5013,4272,4220,42,4231
2016-05-19,4226,5040,4258,4220,32,4245
2016-05-20,4297.5,5037,4299,4268.5,186,4276.5
2016-05-23,4276,5173,4309,4256,226,4302
2016-05-24,4384,5229,4392,4268.5,181,4268.5
2016-05-25,4440,5217,4448,4405,307,4409
2016-05-26,4472,5401,4472,4432,833,4432.5
2016-05-27,4477.5,5822,4480,4456.5,71,4466
2016-05-30,4494,5532,4495,4468.5,254,4487.5
2016-05-31,4472,5699,4491.5,4460,35,4491.5
2016-06-01,4442,5590,4474.5,4425,223,4472.5
2016-06-02,4443.5,5718,4464.5,4430,164,4435.5
2016-06-03,4400.5,5594,4470.5,4374.5,1578,4466.5
2016-06-06,4411,6781,4421.5,4395,25903,4411.5
2016-06-07,4463.5,28833,4474,4425,2868,4425
2016-06-08,4435.5,30317,4460,4425.5,4210,4455
2016-06-09,4393,34389,4429.5,4381,5173,4428.5
2016-06-10,4293.5,37190,4391.5,4270.5,8836,4390
2016-06-13,4214.5,39842,4264,4187.5,49375,4250.5
2016-06-14,4117.5,74982,4200,4113.5,162907,4197
2016-06-15,4159,173881,4192,4128.5,127286,4128.5
2016-06-16,4140,236892,4190.5,4089,84999,4120.5
2016-06-17,4185,248255,4226.5,4161,119349,4191
2016-06-20,4332.5,264884,4343,4281.5,94905,4296
2016-06-21,4362.5,261759,4409.5,4315.5,83684,4341
2016-06-22,4376,251069,4413.5,4357.5,76455,4403
2016-06-23,4462.5,244133,4506,4387,130234,4404.5
2016-06-24,4102,250504,4195.5,3923,267642,4055
2016-06-27,3981.5,282038,4112.5,3951,199187,4040
2016-06-28,4085,271416,4122.5,4042,110815,4045.5
2016-06-29,4191.5,266653,4203.5,4120,106985,4128.5
2016-06-30,4234,262716,4295,4150,125595,4186.5
2016-07-01,4270,265323,4285.5,4212.5,94850,4260.5
2016-07-04,4233.5,264068,4290.5,4229,41264,4268.5
2016-07-05,4162.5,253686,4233,4131,98379,4222.5
2016-07-06,4085,265449,4153.5,4060,134831,4133
2016-07-07,4117,264718,4167.5,4088.5,83238,4118.5
2016-07-08,4190.5,260055,4210,4094.5,91738,4105
2016-07-11,4264.5,257940,4272,4206,132987,4218
2016-07-12,4331,263774,4343,4252.5,200781,4255
2016-07-13,4335.5,265659,4359,4315.5,173811,4318.5
2016-07-14,4385.5,189030,4402.5,4342,112197,4343
2016-07-15,4367.5,81914,4385.5,4344,15991,4360
