Date,Settle,Interest,High,Low,Volume,Open
2016-07-18,4345,,4348,4348,10,4348
2016-07-19,4317.5,10,0,0,0,0
2016-07-20,4366.5,10,0,0,0,0
2016-07-21,4362,10,0,0,0,0
2016-07-22,4368,10,0,0,0,0
2016-07-25,4374.5,10,0,0,0,0
2016-07-26,4382.5,10,0,0,0,0
2016-07-27,4434.5,10,0,0,0,0
2016-07-28,4408.5,10,0,0,0,0
2016-07-29,4427,10,0,0,0,0
2016-08-01,4396,10,0,0,0,0
2016-08-02,4315.5,10,0,0,0,0
2016-08-03,4308.5,10,4335,4312,3,4334
2016-08-04,4333,13,4344,4313.5,6,4344
2016-08-05,4397.5,16,4395,4354,4,4363
2016-08-08,4402.5,18,4425,4425,1,4425
2016-08-09,4455.5,18,4448,4427,3,4427
2016-08-10,4439.5,21,4451,4451,1,4451
2016-08-11,4491.5,22,4495,4446,10,4453
2016-08-12,4488,30,0,0,0,0
2016-08-15,4485.5,30,4501,4486,25,4501
2016-08-16,4448.5,48,4481,4453,32,4455
2016-08-17,4406,74,4436,4405,7,4415
2016-08-18,4425,78,4437.5,4403,61,4437.5
2016-08-19,4388,75,4405,4366,37,4405
2016-08-22,4377,90,4424,4371,28,4392
2016-08-23,4409.5,92,4424,4404,22,4411.5
2016-08-24,4423.5,113,4441,4372,29,4372
2016-08-25,4394.5,132,4422,4367.5,17,4422
2016-08-26,4430,148,4445,4391,32,4435
