Date,Settle,High,Low,Open,Volume,Prev. Day Open Interest
2015-12-09,129.13,0.0,0.0,0.0,0.0,0.0
2015-12-10,129.28,0.0,0.0,0.0,0.0,0.0
2015-12-11,129.41,0.0,0.0,0.0,0.0,0.0
2015-12-14,129.39,0.0,0.0,0.0,0.0,0.0
2015-12-15,128.95,0.0,0.0,0.0,0.0,0.0
2015-12-16,128.89,0.0,0.0,0.0,0.0,0.0
2015-12-17,129.14,0.0,0.0,0.0,0.0,0.0
2015-12-18,129.31,0.0,0.0,0.0,0.0,0.0
2015-12-21,129.3,0.0,0.0,0.0,0.0,0.0
2015-12-22,129.06,0.0,0.0,0.0,0.0,0.0
2015-12-23,128.92,0.0,0.0,0.0,0.0,0.0
2015-12-24,128.92,0.0,0.0,0.0,0.0,0.0
2015-12-28,129.12,0.0,0.0,0.0,0.0,0.0
2015-12-29,128.88,0.0,0.0,0.0,0.0,0.0
2015-12-30,128.92,0.0,0.0,0.0,0.0,0.0
2015-12-31,128.92,0.0,0.0,0.0,0.0,0.0
2016-01-04,129.11,0.0,0.0,0.0,0.0,0.0
2016-01-05,129.33,0.0,0.0,0.0,0.0,0.0
2016-01-06,129.48,0.0,0.0,0.0,0.0,0.0
2016-01-07,129.39,0.0,0.0,0.0,0.0,0.0
2016-01-08,129.45,0.0,0.0,0.0,0.0,0.0
2016-01-11,129.37,0.0,0.0,0.0,0.0,0.0
2016-01-12,129.39,0.0,0.0,0.0,0.0,0.0
2016-01-13,129.44,0.0,0.0,0.0,0.0,0.0
2016-01-14,129.45,0.0,0.0,0.0,0.0,0.0
2016-01-15,129.67,0.0,0.0,0.0,0.0,0.0
2016-01-18,129.66,0.0,0.0,0.0,0.0,0.0
2016-01-19,129.63,0.0,0.0,0.0,0.0,0.0
2016-01-20,129.82,0.0,0.0,0.0,0.0,0.0
2016-01-21,130.06,0.0,0.0,0.0,0.0,0.0
2016-01-22,130.08,0.0,0.0,0.0,0.0,0.0
2016-01-25,130.07,0.0,0.0,0.0,0.0,0.0
2016-01-26,130.18,0.0,0.0,0.0,0.0,0.0
2016-01-27,130.14,0.0,0.0,0.0,0.0,0.0
2016-01-28,130.26,0.0,0.0,0.0,0.0,0.0
2016-01-29,130.56,0.0,0.0,0.0,0.0,0.0
2016-02-01,130.43,0.0,0.0,0.0,0.0,0.0
2016-02-02,130.56,0.0,0.0,0.0,0.0,0.0
2016-02-03,130.74,0.0,0.0,0.0,0.0,0.0
2016-02-04,130.59,0.0,0.0,0.0,0.0,0.0
2016-02-05,130.61,0.0,0.0,0.0,0.0,0.0
2016-02-08,130.91,0.0,0.0,0.0,0.0,0.0
2016-02-09,130.96,0.0,0.0,0.0,0.0,0.0
2016-02-10,130.9,0.0,0.0,0.0,0.0,0.0
2016-02-11,131.18,0.0,0.0,0.0,0.0,0.0
2016-02-12,130.88,0.0,0.0,0.0,0.0,0.0
2016-02-15,131.02,0.0,0.0,0.0,0.0,0.0
2016-02-16,130.93,0.0,0.0,0.0,0.0,0.0
2016-02-17,130.95,0.0,0.0,0.0,0.0,0.0
2016-02-18,131.1,0.0,0.0,0.0,0.0,0.0
2016-02-19,131.13,0.0,0.0,0.0,0.0,0.0
2016-02-22,131.23,0.0,0.0,0.0,0.0,0.0
2016-02-23,131.15,0.0,0.0,0.0,0.0,0.0
2016-02-24,131.23,0.0,0.0,0.0,0.0,0.0
2016-02-25,131.36,0.0,0.0,0.0,0.0,0.0
2016-02-26,131.39,0.0,0.0,0.0,0.0,0.0
2016-02-29,131.61,0.0,0.0,0.0,0.0,0.0
2016-03-01,131.53,0.0,0.0,0.0,0.0,0.0
2016-03-02,131.34,0.0,0.0,0.0,0.0,0.0
2016-03-03,131.48,0.0,0.0,0.0,0.0,0.0
2016-03-04,131.24,0.0,0.0,0.0,0.0,0.0
2016-03-07,131.37,0.0,0.0,0.0,0.0,0.0
2016-03-08,132.48,0.0,0.0,0.0,0.0,0.0
